id,winner,winner2012,flip,percent1,percent2,town2
Sherman,Trump,Romney,Trump retained,49.84,50.05,Sherman
Shelton,Trump,Romney,Trump retained,57.78,54.63,Shelton
Sharon,Clinton,Obama,Clinton retained,57.91,62.64,Sharon
Seymour,Trump,Romney,Trump retained,58.79,51.29,Seymour
Scotland,Trump,Romney,Trump retained,56.99,49.7,Scotland
Salisbury,Clinton,Obama,Clinton retained,71.69,69.19,Salisbury
Salem,Trump,Obama,Flipped to Trump,50.38,51.36,Salem
Roxbury,Clinton,Obama,Clinton retained,51.9,51.32,Roxbury
Rocky Hill,Clinton,Obama,Clinton retained,51.74,55.57,RockyHill
Ridgefield,Clinton,Romney,Flipped to Clinton,55.32,52.74,Ridgefield
Redding,Clinton,Obama,Clinton retained,56.99,52.08,Redding
Putnam,Trump,Obama,Flipped to Trump,50.45,53.76,Putnam
Prospect,Trump,Romney,Trump retained,66.27,62.83,Prospect
Preston,Trump,Romney,Trump retained,54.77,49.56,Preston
Portland,Clinton,Obama,Clinton retained,47.47,54.65,Portland
Pomfret,Clinton,Obama,Clinton retained,50.33,51.33,Pomfret
Plymouth,Trump,Romney,Trump retained,64.84,50.69,Plymouth
Plainville,Trump,Obama,Flipped to Trump,51.64,57.04,Plainville
Plainfield,Trump,Obama,Flipped to Trump,57.39,54.26,Plainfield
Oxford,Trump,Romney,Trump retained,63.8,59.19,Oxford
Orange,Trump,Romney,Trump retained,50.45,53.18,Orange
Old Saybrook,Clinton,Obama,Clinton retained,51.52,52.42,OldSaybrook
Old Lyme,Clinton,Obama,Clinton retained,52.98,56.15,OldLyme
Norwich,Clinton,Obama,Clinton retained,55.31,66.09,Norwich
Norwalk,Clinton,Obama,Clinton retained,63.82,63.01,Norwalk
North Stonington,Trump,Obama,Flipped to Trump,51.49,50.79,NorthStonington
North Haven,Trump,Obama,Flipped to Trump,53.68,51,NorthHaven
North Canaan,Clinton,Obama,Clinton retained,48.51,55.29,NorthCanaan
North Branford,Trump,Obama,Flipped to Trump,58.44,50.13,NorthBranford
Norfolk,Clinton,Obama,Clinton retained,35.5,58.96,Norfolk
Newington,Clinton,Obama,Clinton retained,53.65,59.65,Newington
New London,Clinton,Obama,Clinton retained,72.58,78.94,NewLondon
New Haven,Clinton,Obama,Clinton retained,86.02,89.3,NewHaven
New Hartford,Trump,Romney,Trump retained,54.57,52.98,NewHartford
New Fairfield,Trump,Romney,Trump retained,56.02,55.7,NewFairfield
New Canaan,Clinton,Romney,Flipped to Clinton,52.2,64.13,NewCanaan
New Britain,Clinton,Obama,Clinton retained,69.26,76.32,NewBritain
Naugatuck,Trump,Obama,Flipped to Trump,55.45,49.7,Naugatuck
Morris,Trump,Romney,Trump retained,59.1,57.14,Morris
Montville,Trump,Obama,Flipped to Trump,52.13,55.52,Montville
Monroe,Trump,Romney,Trump retained,54.29,55.7,Monroe
Milford,Clinton,Obama,Clinton retained,48.29,53.65,Milford
Middletown,Clinton,Obama,Clinton retained,61,68.41,Middletown
Middlefield,Trump,Obama,Flipped to Trump,51.63,52.54,Middlefield
Middlebury,Trump,Romney,Trump retained,58.51,62.17,Middlebury
Meriden,Clinton,Obama,Clinton retained,56.98,67.65,Meriden
Marlborough,Trump,Obama,Flipped to Trump,48.53,51.04,Marlborough
Mansfield,Clinton,Obama,Clinton retained,72.51,74.13,Mansfield
Manchester,Clinton,Obama,Clinton retained,60.87,65.21,Manchester
Madison,Clinton,Obama,Clinton retained,54.38,50.25,Madison
Lyme,Clinton,Obama,Clinton retained,60.26,58.11,Lyme
Litchfield,Trump,Romney,Trump retained,50.59,51.9,Litchfield
Lisbon,Trump,Obama,Flipped to Trump,53.87,54.88,Lisbon
Ledyard,Trump,Obama,Flipped to Trump,48.37,51.65,Ledyard
Lebanon,Trump,Obama,Flipped to Trump,53.57,52.14,Lebanon
Killingworth,Trump,Obama,Flipped to Trump,48.39,50.34,Killingworth
Killingly,Trump,Obama,Flipped to Trump,56.85,53.96,Killingly
Kent,Clinton,Obama,Clinton retained,63,63.31,Kent
Hebron,Clinton,Obama,Clinton retained,47.89,50.67,Hebron
Harwinton,Trump,Romney,Trump retained,61.84,59.31,Harwinton
Hartland,Trump,Romney,Trump retained,64.94,64.56,Hartland
Hartford,Clinton,Obama,Clinton retained,90.25,93.24,Hartford
Hampton,Trump,Obama,Flipped to Trump,48.06,58.41,Hampton
Hamden,Clinton,Obama,Clinton retained,68.47,71.3,Hamden
Haddam,Trump,Obama,Flipped to Trump,51.43,50.5,Haddam
Guilford,Clinton,Obama,Clinton retained,59.03,58.39,Guilford
Groton,Clinton,Obama,Clinton retained,55.07,60.04,Groton
Griswold,Trump,Obama,Flipped to Trump,57.08,53.26,Griswold
Greenwich,Clinton,Romney,Flipped to Clinton,56.89,55.24,Greenwich
Granby,Clinton,Romney,Flipped to Clinton,47.84,50.5,Granby
Goshen,Trump,Romney,Trump retained,58.32,56.91,Goshen
Glastonbury,Clinton,Obama,Clinton retained,56.21,52.88,Glastonbury
Franklin,Trump,Obama,Flipped to Trump,55.88,49.19,Franklin
Farmington,Clinton,Obama,Clinton retained,53.37,50.89,Farmington
Fairfield,Clinton,Obama,Clinton retained,57.23,51.05,Fairfield
Essex,Clinton,Obama,Clinton retained,55.99,56.1,Essex
Enfield,Trump,Obama,Flipped to Trump,48.96,55.92,Enfield
Easton,Clinton,Romney,Flipped to Clinton,48.69,55.79,Easton
Eastford,Trump,Romney,Trump retained,53.33,49.1,Eastford
East Lyme,Clinton,Obama,Clinton retained,53.98,57.64,EastLyme
East Hartford,Clinton,Obama,Clinton retained,69.34,75.04,EastHartford
East Hampton,Trump,Obama,Flipped to Trump,50.35,52.08,EastHampton
East Haddam,Trump,Obama,Flipped to Trump,48.89,53,EastHaddam
East Granby,Clinton,Romney,Flipped to Clinton,47.08,50.31,EastGranby
Durham,Trump,Romney,Trump retained,50.84,49.67,Durham
Derby,Trump,Obama,Flipped to Trump,51.48,55.08,Derby
Deep River,Clinton,Obama,Clinton retained,54.18,60.79,DeepRiver
Darien,Clinton,Romney,Flipped to Clinton,52.75,65.39,Darien
Cromwell,Clinton,Obama,Clinton retained,50.09,55.29,Cromwell
Coventry,Clinton,Obama,Clinton retained,46.27,56.29,Coventry
Cornwall,Clinton,Obama,Clinton retained,67.39,71.23,Cornwall
Columbia,Clinton,Obama,Clinton retained,47.44,55.74,Columbia
Colebrook,Trump,Romney,Trump retained,58.8,53.97,Colebrook
Colchester,Trump,Obama,Flipped to Trump,47.12,52.56,Colchester
Clinton,Clinton,Obama,Clinton retained,48.57,54.72,Clinton
Chester,Clinton,Obama,Clinton retained,60.05,65.43,Chester
Cheshire,Clinton,Obama,Clinton retained,48.63,49.66,Cheshire
Chaplin,Trump,Obama,Flipped to Trump,54.21,54.38,Chaplin
Canton,Clinton,Obama,Clinton retained,51.65,51.23,Canton
Canterbury,Trump,Romney,Trump retained,59.33,50.88,Canterbury
Canaan,Clinton,Obama,Clinton retained,60.3,63.37,Canaan
Burlington,Trump,Romney,Trump retained,51.49,52.63,Burlington
Brooklyn,Trump,Obama,Flipped to Trump,55.16,51.55,Brooklyn
Brookfield,Trump,Romney,Trump retained,53.57,55.11,Brookfield
Bristol,Trump,Obama,Flipped to Trump,48.26,57.91,Bristol
Bridgewater,Trump,Romney,Trump retained,50.04,54.51,Bridgewater
Branford,Clinton,Obama,Clinton retained,54.17,58.2,Branford
Bozrah,Trump,Obama,Flipped to Trump,54.96,50.31,Bozrah
Bolton,Trump,Romney,Trump retained,47.83,49.26,Bolton
Bloomfield,Clinton,Obama,Clinton retained,82.8,83.4,Bloomfield
Bethlehem,Trump,Romney,Trump retained,60.64,58.3,Bethlehem
Bethel,Clinton,Obama,Clinton retained,48.84,51.18,Bethel
Bethany,Trump,Obama,Flipped to Trump,48.7,50.63,Bethany
Berlin,Trump,Obama,Flipped to Trump,53.53,50.06,Berlin
Beacon Falls,Trump,Romney,Trump retained,60.08,54,BeaconFalls
Barkhamsted,Trump,Romney,Trump retained,52.59,49.07,Barkhamsted
Avon,Clinton,Romney,Flipped to Clinton,53.33,52.9,Avon
Ashford,Clinton,Obama,Clinton retained,47.68,61.25,Ashford
Ansonia,Clinton,Obama,Clinton retained,51.49,61.33,Ansonia
